Carimbo de data/hora,1. Departamento/Curso,2. Tempo de serviço no ISPI,3. Gênero,1. Sinto que a direção geral do instituto apoia o desenvolvimento profissional dos docentes. ,2. A comunicação entre a direção geral e os docentes é clara e eficaz.,3. A direção geral toma decisões que beneficiam o corpo docente.,4. Os recursos disponibilizados pela direção geral são adequados para o ensino e a pesquisa.,5. Sinto que minha opinião é valorizada nas tomadas de decisão pela direção geral.,6. A gestão acadêmica pela direção geral promove um ambiente de trabalho positivo.,7. A direção geral é acessível e disponível para tratar de questões acadêmicas.,8. As políticas e procedimentos acadêmicos são bem definidos pela direção geral.,9. Sinto que a direção geral apoia a inovação e a melhoria contínua no ensino. ,10. Estou satisfeito(a) com a remuneração oferecida pelo instituto.,11. Estou satisfeito(a) com a gestão acadêmica realizada pela direção geral do instituto.,  Comentários ou Sugestões:  ,1. Sinto que a direção geral do instituto apoia o desenvolvimento profissional dos docentes.,4. Sinto que a direção geral é acessível e aberta a ouvir sugestões dos docentes.,5. Estou satisfeito(a) com a infraestrutura fornecida pelo instituto.,6. A direção geral promove um ambiente de trabalho colaborativo e respeitoso.,7. A direção geral apoia a participação dos docentes em conferências e eventos acadêmicos.,8. A direção geral está comprometida com a melhoria contínua da qualidade do ensino.,9. Sinto que a direção geral apoia a inovação e a melhoria contínua no ensino.,Comentários ou Sugestões:
"7/31/24 8:50,Ensino primário/Formaçaõ de professores,1 a 5 anos,Feminino,3 - Neutro,5 - Concordo totalmente,2 - Discordo parcialmente,2 - Discordo parcialmente,1 - Discordo totalmente,4 - Concordo parcialmente,4 - Concordo parcialmente,4 - Concordo parcialmente,4 - Concordo parcialmente,3 - Neutro,2 - Discordo parcialmente,""Em caso de houver desentendimento entre alunos e professor ou na eventualidade de um estudante denunciar um caso que lhe tenha desfavorecido, que se ouça às duas partes em separado e chamar ambas as partes para se aferir que esteve errado e não tomar uma decisão sem esse procedimento."",3 - Neutro,1 - Discordo totalmente,2 - Discordo parcialmente,5 - Concordo totalmente,3 - Neutro,3 - Neutro,5 - Concordo totalmente,Estou satisfeito com as iniciativas recentes da direção."
7/31/24 10:30,Departamento da Educação/Curso de Formação de Professores do Ensino Primário,1 a 5 anos,Masculino,5 - Concordo totalmente,4 - Concordo parcialmente,3 - Neutro,2 - Discordo parcialmente,5 - Concordo totalmente,1 - Discordo totalmente,4 - Concordo parcialmente,5 - Concordo totalmente,3 - Neutro,5 - Concordo totalmente,5 - Concordo totalmente,,1 - Discordo totalmente,2 - Discordo parcialmente,2 - Discordo parcialmente,1 - Discordo totalmente,5 - Concordo totalmente,4 - Concordo parcialmente,2 - Discordo parcialmente,
7/31/24 11:05,Ciências da Educação,Mais de 5 anos,Masculino,5 - Concordo totalmente,2 - Discordo parcialmente,1 - Discordo totalmente,3 - Neutro,5 - Concordo totalmente,4 - Concordo parcialmente,5 - Concordo totalmente,4 - Concordo parcialmente,5 - Concordo totalmente,2 - Discordo parcialmente,4 - Concordo parcialmente,,2 - Discordo parcialmente,4 - Concordo parcialmente,4 - Concordo parcialmente,2 - Discordo parcialmente,2 - Discordo parcialmente,4 - Concordo parcialmente,5 - Concordo totalmente,
7/31/24 13:15,Departamento de Ciência de Educação,1 a 5 anos,Masculino,4 - Concordo parcialmente,2 - Discordo parcialmente,2 - Discordo parcialmente,5 - Concordo totalmente,1 - Discordo totalmente,1 - Discordo totalmente,4 - Concordo parcialmente,4 - Concordo parcialmente,4 - Concordo parcialmente,3 - Neutro,4 - Concordo parcialmente,,5 - Concordo totalmente,3 - Neutro,1 - Discordo totalmente,1 - Discordo totalmente,2 - Discordo parcialmente,5 - Concordo totalmente,5 - Concordo totalmente,
8/1/24 8:05,Departamento de Ciência de Educação,1 a 5 anos,Feminino,4 - Concordo parcialmente,5 - Concordo totalmente,4 - Concordo parcialmente,5 - Concordo totalmente,5 - Concordo totalmente,5 - Concordo totalmente,5 - Concordo totalmente,4 - Concordo parcialmente,5 - Concordo totalmente,1 - Discordo totalmente,2 - Discordo parcialmente,,4 - Concordo parcialmente,4 - Concordo parcialmente,2 - Discordo parcialmente,1 - Discordo totalmente,4 - Concordo parcialmente,2 - Discordo parcialmente,3 - Neutro,
8/1/24 9:12,Ciências da Educação,1 a 5 anos,Feminino,5 - Concordo totalmente,5 - Concordo totalmente,2 - Discordo parcialmente,4 - Concordo parcialmente,3 - Neutro,2 - Discordo parcialmente,4 - Concordo parcialmente,4 - Concordo parcialmente,4 - Concordo parcialmente,4 - Concordo parcialmente,1 - Discordo totalmente,,5 - Concordo totalmente,4 - Concordo parcialmente,2 - Discordo parcialmente,4 - Concordo parcialmente,3 - Neutro,4 - Concordo parcialmente,2 - Discordo parcialmente,Mais investimentos em infraestrutura são necessários.
8/1/24 10:45,Ciências da Educação,Mais de 5 anos,Masculino,4 - Concordo parcialmente,2 - Discordo parcialmente,4 - Concordo parcialmente,2 - Discordo parcialmente,3 - Neutro,5 - Concordo totalmente,2 - Discordo parcialmente,5 - Concordo totalmente,1 - Discordo totalmente,1 - Discordo totalmente,3 - Neutro,,4 - Concordo parcialmente,5 - Concordo totalmente,2 - Discordo parcialmente,1 - Discordo totalmente,2 - Discordo parcialmente,2 - Discordo parcialmente,5 - Concordo totalmente,
8/1/24 11:55,Ciências da Educação,1 a 5 anos,Masculino,5 - Concordo totalmente,4 - Concordo parcialmente,1 - Discordo totalmente,2 - Discordo parcialmente,2 - Discordo parcialmente,5 - Concordo totalmente,4 - Concordo parcialmente,5 - Concordo totalmente,5 - Concordo totalmente,5 - Concordo totalmente,1 - Discordo totalmente,,1 - Discordo totalmente,3 - Neutro,1 - Discordo totalmente,1 - Discordo totalmente,2 - Discordo parcialmente,4 - Concordo parcialmente,5 - Concordo totalmente,
8/1/24 13:30,Ensino primário/Formaçaõ de professores,1 a 5 anos,Feminino,4 - Concordo parcialmente,4 - Concordo parcialmente,4 - Concordo parcialmente,5 - Concordo totalmente,2 - Discordo parcialmente,2 - Discordo parcialmente,2 - Discordo parcialmente,4 - Concordo parcialmente,3 - Neutro,2 - Discordo parcialmente,3 - Neutro,,2 - Discordo parcialmente,5 - Concordo totalmente,2 - Discordo parcialmente,1 - Discordo totalmente,3 - Neutro,1 - Discordo totalmente,4 - Concordo parcialmente,Mais investimentos em infraestrutura são necessários.
8/1/24 9:25,Departamento de Ciência de Educação,Mais de 5 anos,Masculino,2 - Discordo parcialmente,4 - Concordo parcialmente,1 - Discordo totalmente,5 - Concordo totalmente,3 - Neutro,4 - Concordo parcialmente,5 - Concordo totalmente,4 - Concordo parcialmente,2 - Discordo parcialmente,1 - Discordo totalmente,1 - Discordo totalmente,,3 - Neutro,4 - Concordo parcialmente,4 - Concordo parcialmente,5 - Concordo totalmente,1 - Discordo totalmente,3 - Neutro,4 - Concordo parcialmente,
8/1/24 10:35,Departamento de ciências e tecnologias de informação ,Mais de 5 anos,Masculino,2 - Discordo parcialmente,5 - Concordo totalmente,5 - Concordo totalmente,2 - Discordo parcialmente,4 - Concordo parcialmente,4 - Concordo parcialmente,1 - Discordo totalmente,4 - Concordo parcialmente,4 - Concordo parcialmente,1 - Discordo totalmente,3 - Neutro,,2 - Discordo parcialmente,5 - Concordo totalmente,4 - Concordo parcialmente,3 - Neutro,2 - Discordo parcialmente,5 - Concordo totalmente,3 - Neutro,
8/1/24 10:35,Departamento de ciências e tecnologias de informação ,Mais de 5 anos,Masculino,2 - Discordo parcialmente,5 - Concordo totalmente,5 - Concordo totalmente,4 - Concordo parcialmente,2 - Discordo parcialmente,4 - Concordo parcialmente,1 - Discordo totalmente,4 - Concordo parcialmente,1 - Discordo totalmente,1 - Discordo totalmente,3 - Neutro,,2 - Discordo parcialmente,5 - Concordo totalmente,4 - Concordo parcialmente,3 - Neutro,2 - Discordo parcialmente,5 - Concordo totalmente,3 - Neutro,
8/2/24 8:30,Ensino primário/Formaçaõ de professores,1 a 5 anos,Feminino,5 - Concordo totalmente,2 - Discordo parcialmente,1 - Discordo totalmente,4 - Concordo parcialmente,2 - Discordo parcialmente,5 - Concordo totalmente,1 - Discordo totalmente,5 - Concordo totalmente,4 - Concordo parcialmente,5 - Concordo totalmente,5 - Concordo totalmente,,3 - Neutro,5 - Concordo totalmente,4 - Concordo parcialmente,1 - Discordo totalmente,2 - Discordo parcialmente,4 - Concordo parcialmente,3 - Neutro,
8/2/24 9:45,Departamento da Educação/Curso de Formação de Professores do Ensino Primário,Mais de 5 anos,Masculino,5 - Concordo totalmente,3 - Neutro,4 - Concordo parcialmente,4 - Concordo parcialmente,4 - Concordo parcialmente,5 - Concordo totalmente,2 - Discordo parcialmente,2 - Discordo parcialmente,1 - Discordo totalmente,1 - Discordo totalmente,4 - Concordo parcialmente,,2 - Discordo parcialmente,1 - Discordo totalmente,5 - Concordo totalmente,2 - Discordo parcialmente,4 - Concordo parcialmente,1 - Discordo totalmente,4 - Concordo parcialmente,
8/2/24 11:25,Departamento de Ciência de Educação,1 a 5 anos,Masculino,3 - Neutro,3 - Neutro,4 - Concordo parcialmente,5 - Concordo totalmente,2 - Discordo parcialmente,4 - Concordo parcialmente,5 - Concordo totalmente,4 - Concordo parcialmente,5 - Concordo totalmente,3 - Neutro,3 - Neutro,,1 - Discordo totalmente,2 - Discordo parcialmente,5 - Concordo totalmente,2 - Discordo parcialmente,2 - Discordo parcialmente,2 - Discordo parcialmente,5 - Concordo totalmente,
8/2/24 12:35,Ciências da Educação,Mais de 5 anos,Feminino,4 - Concordo parcialmente,3 - Neutro,3 - Neutro,5 - Concordo totalmente,2 - Discordo parcialmente,5 - Concordo totalmente,4 - Concordo parcialmente,4 - Concordo parcialmente,4 - Concordo parcialmente,3 - Neutro,2 - Discordo parcialmente,,3 - Neutro,3 - Neutro,2 - Discordo parcialmente,2 - Discordo parcialmente,3 - Neutro,1 - Discordo totalmente,4 - Concordo parcialmente,Maior apoio ao desenvolvimento profissional seria bem-vindo.
8/2/24 14:10,Departamento de ciências e tecnologias de informação ,1 a 5 anos,Masculino,5 - Concordo totalmente,1 - Discordo totalmente,1 - Discordo totalmente,2 - Discordo parcialmente,2 - Discordo parcialmente,5 - Concordo totalmente,2 - Discordo parcialmente,5 - Concordo totalmente,1 - Discordo totalmente,3 - Neutro,3 - Neutro,,1 - Discordo totalmente,4 - Concordo parcialmente,2 - Discordo parcialmente,3 - Neutro,3 - Neutro,4 - Concordo parcialmente,3 - Neutro,
8/2/24 9:20,Departamento de Ciência de Educação,1 a 5 anos,Masculino,4 - Concordo parcialmente,1 - Discordo totalmente,2 - Discordo parcialmente,3 - Neutro,5 - Concordo totalmente,2 - Discordo parcialmente,4 - Concordo parcialmente,5 - Concordo totalmente,5 - Concordo totalmente,1 - Discordo totalmente,5 - Concordo totalmente,,5 - Concordo totalmente,1 - Discordo totalmente,4 - Concordo parcialmente,1 - Discordo totalmente,3 - Neutro,5 - Concordo totalmente,5 - Concordo totalmente,
8/2/24 10:55,Departamento da Educação/Curso de Formação de Professores do Ensino Primário,Mais de 5 anos,Masculino,5 - Concordo totalmente,2 - Discordo parcialmente,1 - Discordo totalmente,2 - Discordo parcialmente,5 - Concordo totalmente,3 - Neutro,2 - Discordo parcialmente,4 - Concordo parcialmente,3 - Neutro,4 - Concordo parcialmente,2 - Discordo parcialmente,,2 - Discordo parcialmente,4 - Concordo parcialmente,2 - Discordo parcialmente,5 - Concordo totalmente,2 - Discordo parcialmente,3 - Neutro,3 - Neutro,
"8/2/24 12:20,Ciências da Educação,1 a 5 anos,Masculino,4 - Concordo parcialmente,5 - Concordo totalmente,5 - Concordo totalmente,2 - Discordo parcialmente,4 - Concordo parcialmente,2 - Discordo parcialmente,2 - Discordo parcialmente,2 - Discordo parcialmente,1 - Discordo totalmente,5 - Concordo totalmente,4 - Concordo parcialmente,,4 - Concordo parcialmente,4 - Concordo parcialmente,2 - Discordo parcialmente,4 - Concordo parcialmente,5 - Concordo totalmente,4 - Concordo parcialmente,2 - Discordo parcialmente,""Sugiro que, anualmente a área cientifica elabore um calendário indicativo para realização das jornadas científicas a ser promovidas pelos departamentos de investigação e ensino da instituição."""
8/2/24 13:50,Ensino primário/Formaçaõ de professores,Mais de 5 anos,Masculino,2 - Discordo parcialmente,3 - Neutro,3 - Neutro,5 - Concordo totalmente,2 - Discordo parcialmente,2 - Discordo parcialmente,5 - Concordo totalmente,4 - Concordo parcialmente,5 - Concordo totalmente,2 - Discordo parcialmente,3 - Neutro,,2 - Discordo parcialmente,3 - Neutro,5 - Concordo totalmente,1 - Discordo totalmente,1 - Discordo totalmente,2 - Discordo parcialmente,4 - Concordo parcialmente,
8/2/24 15:10,Departamento da Educação/Curso de Formação de Professores do Ensino Primário,1 a 5 anos,Masculino,2 - Discordo parcialmente,3 - Neutro,2 - Discordo parcialmente,5 - Concordo totalmente,1 - Discordo totalmente,5 - Concordo totalmente,4 - Concordo parcialmente,4 - Concordo parcialmente,4 - Concordo parcialmente,1 - Discordo totalmente,2 - Discordo parcialmente,,3 - Neutro,4 - Concordo parcialmente,2 - Discordo parcialmente,1 - Discordo totalmente,4 - Concordo parcialmente,3 - Neutro,5 - Concordo totalmente,
8/3/24 7:45,Departamento de ciências e tecnologias de informação ,1 a 5 anos,Masculino,5 - Concordo totalmente,2 - Discordo parcialmente,5 - Concordo totalmente,4 - Concordo parcialmente,5 - Concordo totalmente,5 - Concordo totalmente,2 - Discordo parcialmente,5 - Concordo totalmente,1 - Discordo totalmente,4 - Concordo parcialmente,2 - Discordo parcialmente,,2 - Discordo parcialmente,4 - Concordo parcialmente,3 - Neutro,1 - Discordo totalmente,1 - Discordo totalmente,1 - Discordo totalmente,2 - Discordo parcialmente,
8/3/24 8:50,Ensino primário/Formaçaõ de professores,Mais de 5 anos,Masculino,5 - Concordo totalmente,2 - Discordo parcialmente,1 - Discordo totalmente,4 - Concordo parcialmente,3 - Neutro,4 - Concordo parcialmente,4 - Concordo parcialmente,5 - Concordo totalmente,5 - Concordo totalmente,5 - Concordo totalmente,1 - Discordo totalmente,,1 - Discordo totalmente,4 - Concordo parcialmente,3 - Neutro,5 - Concordo totalmente,5 - Concordo totalmente,5 - Concordo totalmente,1 - Discordo totalmente,
8/3/24 10:22,Departamento de ciências e tecnologias de informação ,Mais de 5 anos,Masculino,4 - Concordo parcialmente,3 - Neutro,4 - Concordo parcialmente,5 - Concordo totalmente,2 - Discordo parcialmente,5 - Concordo totalmente,2 - Discordo parcialmente,2 - Discordo parcialmente,1 - Discordo totalmente,4 - Concordo parcialmente,5 - Concordo totalmente,,4 - Concordo parcialmente,3 - Neutro,2 - Discordo parcialmente,4 - Concordo parcialmente,1 - Discordo totalmente,1 - Discordo totalmente,5 - Concordo totalmente,
8/3/24 11:55,Ensino primário/Formaçaõ de professores,Mais de 5 anos,Feminino,4 - Concordo parcialmente,4 - Concordo parcialmente,2 - Discordo parcialmente,4 - Concordo parcialmente,5 - Concordo totalmente,5 - Concordo totalmente,5 - Concordo totalmente,4 - Concordo parcialmente,5 - Concordo totalmente,4 - Concordo parcialmente,4 - Concordo parcialmente,,3 - Neutro,3 - Neutro,2 - Discordo parcialmente,2 - Discordo parcialmente,4 - Concordo parcialmente,3 - Neutro,4 - Concordo parcialmente,
8/3/24 13:30,Departamento de Ciência de Educação,1 a 5 anos,Masculino,5 - Concordo totalmente,2 - Discordo parcialmente,5 - Concordo totalmente,2 - Discordo parcialmente,1 - Discordo totalmente,2 - Discordo parcialmente,4 - Concordo parcialmente,4 - Concordo parcialmente,4 - Concordo parcialmente,4 - Concordo parcialmente,5 - Concordo totalmente,,2 - Discordo parcialmente,4 - Concordo parcialmente,5 - Concordo totalmente,2 - Discordo parcialmente,4 - Concordo parcialmente,3 - Neutro,5 - Concordo totalmente,
"8/3/24 9:05,Ensino primário/Formaçaõ de professores,Mais de 5 anos,Masculino,4 - Concordo parcialmente,2 - Discordo parcialmente,3 - Neutro,2 - Discordo parcialmente,4 - Concordo parcialmente,3 - Neutro,2 - Discordo parcialmente,5 - Concordo totalmente,1 - Discordo totalmente,4 - Concordo parcialmente,1 - Discordo totalmente,""Na verdade a instituiçaõ tem crescido muito, precisamos so melhorar um pouco no numero de estudante por turma.o resto estamos indo bem pouco a pouco chegaremos lá"",3 - Neutro,1 - Discordo totalmente,3 - Neutro,5 - Concordo totalmente,5 - Concordo totalmente,4 - Concordo parcialmente,2 - Discordo parcialmente,"
8/3/24 10:15,Ciências da Educação,1 a 5 anos,Masculino,5 - Concordo totalmente,4 - Concordo parcialmente,3 - Neutro,4 - Concordo parcialmente,2 - Discordo parcialmente,2 - Discordo parcialmente,4 - Concordo parcialmente,5 - Concordo totalmente,5 - Concordo totalmente,5 - Concordo totalmente,4 - Concordo parcialmente,,5 - Concordo totalmente,5 - Concordo totalmente,4 - Concordo parcialmente,1 - Discordo totalmente,5 - Concordo totalmente,2 - Discordo parcialmente,2 - Discordo parcialmente,
8/3/24 11:40,Departamento de ciências e tecnologias de informação ,Mais de 5 anos,Masculino,4 - Concordo parcialmente,2 - Discordo parcialmente,1 - Discordo totalmente,4 - Concordo parcialmente,5 - Concordo totalmente,2 - Discordo parcialmente,5 - Concordo totalmente,2 - Discordo parcialmente,2 - Discordo parcialmente,4 - Concordo parcialmente,5 - Concordo totalmente,,1 - Discordo totalmente,2 - Discordo parcialmente,4 - Concordo parcialmente,2 - Discordo parcialmente,4 - Concordo parcialmente,3 - Neutro,5 - Concordo totalmente,
8/3/24 12:55,Ensino primário/Formaçaõ de professores,1 a 5 anos,Masculino,2 - Discordo parcialmente,5 - Concordo totalmente,2 - Discordo parcialmente,5 - Concordo totalmente,2 - Discordo parcialmente,5 - Concordo totalmente,2 - Discordo parcialmente,4 - Concordo parcialmente,3 - Neutro,2 - Discordo parcialmente,5 - Concordo totalmente,,1 - Discordo totalmente,4 - Concordo parcialmente,1 - Discordo totalmente,4 - Concordo parcialmente,2 - Discordo parcialmente,5 - Concordo totalmente,1 - Discordo totalmente,
8/3/24 14:25,Departamento de Ciência de Educação,1 a 5 anos,Feminino,2 - Discordo parcialmente,2 - Discordo parcialmente,3 - Neutro,2 - Discordo parcialmente,5 - Concordo totalmente,5 - Concordo totalmente,5 - Concordo totalmente,2 - Discordo parcialmente,2 - Discordo parcialmente,5 - Concordo totalmente,1 - Discordo totalmente,,1 - Discordo totalmente,5 - Concordo totalmente,5 - Concordo totalmente,4 - Concordo parcialmente,4 - Concordo parcialmente,2 - Discordo parcialmente,2 - Discordo parcialmente,
